K 3802.0, -275.0, 80, 30, 80, 2, A_human_skeleton
K -1198.0, 1997.0, 80, 30, 80, 2, Keeper_Lasnik
K -1543.0, 2037.0, 80, 30, 80, 2, Keeper_Lasnik
K -2559.0, -3459.0, 80, 30, 80, 2, Keeper_Sepsis
K -3361.0, -576.0, 80, 30, 80, 2, Keeper_Sepsis
K -2378.0, -2728.0, 80, 30, 80, 2, Keeper_Sepsis
K 144.0, 2027.0, 80, 30, 80, 2, Keeper_Sepsis
K -2559.0, -3459.0, 80, 30, 80, 2, Knight_Dragol
K -3361.0, -576.0, 80, 30, 80, 2, Knight_Dragol
K -2378.0, -2728.0, 80, 30, 80, 2, Knight_Dragol
K 144.0, 2027.0, 80, 30, 80, 2, Knight_Dragol
K -2559.0, -3459.0, 80, 30, 80, 2, Oracle_Froskil
K -3361.0, -576.0, 80, 30, 80, 2, Oracle_Froskil
K -2378.0, -2728.0, 80, 30, 80, 2, Oracle_Froskil
K 144.0, 2027.0, 80, 30, 80, 2, Oracle_Froskil
K 4368.0, 1834.0, 80, 30, 80, 2, Pained_Soul
K -2559.0, -3459.0, 80, 30, 80, 2, Partisan_Yinlen
K -3361.0, -576.0, 80, 30, 80, 2, Partisan_Yinlen
K -2378.0, -2728.0, 80, 30, 80, 2, Partisan_Yinlen
K 144.0, 2027.0, 80, 30, 80, 2, Partisan_Yinlen
K -1271.0, 1462.0, 80, 30, 80, 2, Silvermane
K -4264.0, -2517.0, 80, 30, 80, 2, Silvermane
K -1402.0, -2378.0, 80, 30, 80, 2, Silvermane
K -3341.0, -2364.0, 80, 30, 80, 2, Silvermane
K -1198.0, 1997.0, 80, 30, 80, 2, Silvermane
K -1543.0, 2037.0, 80, 30, 80, 2, Silvermane
K 4368.0, 1834.0, 80, 30, 80, 2, Spectral_Champion
K -1039.0, -3656.0, 80, 30, 80, 2, Spectral_Champion
K -815.0, -2723.0, 80, 30, 80, 2, Spectral_Champion
K -790.0, -2656.0, 80, 30, 80, 2, Spectral_Champion
K -264.0, -3619.0, 80, 30, 80, 2, Spectral_Champion
K -1044.0, -3670.0, 80, 30, 80, 2, Spectral_Commander
K 4322.0, 1860.0, 80, 30, 80, 2, Spectral_footman
K 4321.0, 1793.0, 80, 30, 80, 2, Spectral_Legionnaire
K 4290.0, 1731.0, 80, 30, 80, 2, Spectral_partisan
K 3586.0, 871.0, 80, 30, 80, 2, Spectral_partisan
K -1271.0, 1462.0, 80, 30, 80, 2, Squire_Glik
K -4264.0, -2517.0, 80, 30, 80, 2, Squire_Glik
K -1402.0, -2378.0, 80, 30, 80, 2, Squire_Glik
K -3341.0, -2364.0, 80, 30, 80, 2, Squire_Glik
K -1198.0, 1997.0, 80, 30, 80, 2, Squire_Glik
K -1543.0, 2037.0, 80, 30, 80, 2, Squire_Glik
K -2559.0, -3459.0, 80, 30, 80, 2, Throkkok
K -3361.0, -576.0, 80, 30, 80, 2, Throkkok
K -2378.0, -2728.0, 80, 30, 80, 2, Throkkok
K 144.0, 2027.0, 80, 30, 80, 2, Throkkok
K -1271.0, 1462.0, 80, 30, 80, 2, Thruke
K -4264.0, -2517.0, 80, 30, 80, 2, Thruke
K -1402.0, -2378.0, 80, 30, 80, 2, Thruke
K -3341.0, -2364.0, 80, 30, 80, 2, Thruke
K -1198.0, 1997.0, 80, 30, 80, 2, Thruke
K -1543.0, 2037.0, 80, 30, 80, 2, Thruke
